freq_group,pnl_group,sentiment,avg_pnl,win_rate,trades
Frequent,Loser,Extreme Fear,5.064931595121951,0.1951219512195122,205
Frequent,Loser,Extreme Greed,11.182301033628319,0.45486725663716815,565
Frequent,Loser,Fear,4.841095520317146,0.333994053518335,1009
Frequent,Loser,Greed,-16.034146370212767,0.2723404255319149,940
Frequent,Loser,Neutral,1.82696389,0.27,100
Frequent,Winner,Extreme Fear,-0.11724297923497282,0.333879781420765,1830
Frequent,Winner,Extreme Greed,238.10948283476984,0.5642211477822157,4757
Frequent,Winner,Fear,131.3557091871621,0.3902857633227495,11653
Frequent,Winner,Greed,59.6357999484305,0.45801059926620463,9812
Frequent,Winner,Neutral,28.027691728865193,0.5064737242955065,2626
Infrequent,Loser,Extreme Fear,0.0,0.0,143
Infrequent,Loser,Extreme Greed,465.168206125,0.5,8
Infrequent,Loser,Fear,6.5344788663967615,0.291497975708502,247
Infrequent,Loser,Greed,-229.8970709761905,0.11904761904761904,42
Infrequent,Loser,Neutral,0.0,0.0,4
Infrequent,Winner,Extreme Fear,24.163379905405407,0.20270270270270271,148
Infrequent,Winner,Extreme Greed,48.68563573195876,0.5670103092783505,291
Infrequent,Winner,Fear,252.12377274583332,0.35208333333333336,960
Infrequent,Winner,Greed,98.8229680943775,0.3313253012048193,498
Infrequent,Winner,Neutral,33.58950426923077,0.2692307692307692,26
